,loss,accuracy,val_loss,val_accuracy,lr
0,0.7248681783676147,0.7303833365440369,0.49129605293273926,0.8197000026702881,0.009999999776482582
1,0.514913022518158,0.8166000247001648,0.4549252986907959,0.828000009059906,0.009999999776482582
2,0.47807958722114563,0.8291166424751282,0.43974485993385315,0.8384000062942505,0.009999999776482582
3,0.4716782867908478,0.8295333385467529,0.4513947665691376,0.833899974822998,0.009999999776482582
4,0.4655338525772095,0.8318666815757751,0.42677006125450134,0.8385999798774719,0.009999999776482582
5,0.45678457617759705,0.8359166383743286,0.4234912097454071,0.8476999998092651,0.009999999776482582
6,0.44682368636131287,0.8379999995231628,0.4435942471027374,0.840499997138977,0.009999999776482582
7,0.45057961344718933,0.8377500176429749,0.44379815459251404,0.8371999859809875,0.009999999776482582
8,0.4485723674297333,0.8373166918754578,0.41212528944015503,0.8549000024795532,0.009999999776482582
9,0.4428529739379883,0.841866672039032,0.47182002663612366,0.8406000137329102,0.009999999776482582
10,0.38593026995658875,0.8577666878700256,0.37254998087882996,0.8644999861717224,0.004999999888241291
11,0.37158897519111633,0.8617666959762573,0.4040459096431732,0.8540999889373779,0.004999999888241291
12,0.3646650016307831,0.865149974822998,0.3944491446018219,0.8622000217437744,0.004999999888241291
13,0.36293691396713257,0.8663333058357239,0.3877366781234741,0.8639000058174133,0.004999999888241291
14,0.35502976179122925,0.8690833449363708,0.37970268726348877,0.8687999844551086,0.004999999888241291
