,loss,accuracy,val_loss,val_accuracy
0,0.49989762902259827,0.8259666562080383,0.4450797438621521,0.8414999842643738
1,0.37804192304611206,0.8652666807174683,0.4019438624382019,0.8481000065803528
2,0.3358669579029083,0.8775666952133179,0.3809138834476471,0.8650000095367432
3,0.31513968110084534,0.8844666481018066,0.38040104508399963,0.8644000291824341
4,0.29660001397132874,0.8898833394050598,0.349793404340744,0.8755999803543091
5,0.28179776668548584,0.8963666558265686,0.4057988226413727,0.843500018119812
6,0.2695586383342743,0.8994500041007996,0.33918917179107666,0.8787999749183655
7,0.25913888216018677,0.9045500159263611,0.3504166603088379,0.8773000240325928
8,0.24994106590747833,0.9082333445549011,0.34254759550094604,0.8791999816894531
9,0.24057537317276,0.9108833074569702,0.3537689447402954,0.8780999779701233
10,0.231527641415596,0.913433313369751,0.3376906216144562,0.8823000192642212
11,0.22512568533420563,0.9161499738693237,0.3597111403942108,0.873199999332428
12,0.21694935858249664,0.9182166457176208,0.3569886386394501,0.8766999840736389
13,0.2106454223394394,0.9210500121116638,0.3345324993133545,0.8842999935150146
14,0.20443961024284363,0.9243833422660828,0.36210793256759644,0.8808000087738037
15,0.19967003166675568,0.9257333278656006,0.34448421001434326,0.883899986743927
16,0.1947903037071228,0.9285500049591064,0.3400978147983551,0.8871999979019165
17,0.18720749020576477,0.9291499853134155,0.3383997678756714,0.890999972820282
18,0.18388284742832184,0.9312166571617126,0.34544500708580017,0.8884000182151794
19,0.17996972799301147,0.9320999979972839,0.35616058111190796,0.8907999992370605
